121 1502 1959 1411 594 1804 315 2844 3858 2266 4985 4409 4128 592 4508 3567 2762 3285 4011 2957
3611 1368 545 203 3338 102 2610 3507 665 2319 2350 570 3053 518 2678 4701 4154 4961 2826 2122
3582 535 934 559 1637 4695 4932 4017 1904 4299 2079 4017 2203 565 3659 3418 1100 1757 1341 2296
2541 987 1555 4026 4600 1880 1831 1437 2294 813 3215 3188 3546 829 3715 545 2091 747 3971 1192
3534 4256 4543 2710 1009 2175 3708 3513 4383 1932 1216 2273 1886 3418 3800 3072 847 3593 1613 3463
4813 2493 48 714 4519 2285 987 2817 1572 1028 4217 1472 4207 3907 1461 1968 4235 2641 1649 0
4378 2146 3387 3501 1988 3201 601 2430 1587 2669 1078 1019 4613 345 1100 764 2630 136 3879 2571
1873 4223 3445 2331 2363 3524 4265 61 4126 3912 3483 212 2160 732 1855 4603 353 3582 1723 1266
1106 1192 1997 2833 695 2656 1864 301 2821 128 4017 3712 58 4359 4930 4499 4681 405 3491 3365
3979 810 1005 4783 1206 2350 377 4499 4794 4848 685 669 3955 4167 4017 4864 3042 350 1947 1242
2493 1723 560 2331 4417 2173 1002 3757 973 1561 1437 2319 4395 1314 1359 4864 2563 2600 4994 3234
72 4983 2053 4396 2143 1002 2620 1432 3225 199 4018 3216 1805 3466 4369 4147 3117 4802 1432 1517
3678 489 636 4708 3774 4409 1876 526 2208 4856 118 3430 4127 625 2979 170 3659 310 2762 0
4816 2986 2110 3997 4110 4832 3659 366 4343 1153 2177 4546 4156 3258 2275 4956 3000 377 3579 398
1832 79 1755 4127 3806 1531 4790 4701 533 2370 3245 3419 4696 2866 3837 1185 2541 1005 4925 170
4257 1864 3034 3408 932 4813 4250 4422 1168 2656 2883 1472 3383 3342 46 3628 799 4153 4635 376
3534 1783 1185 270 705 574 727 1565 4355 4008 452 438 4387 215 489 2170 2960 3286 1569 314
1307 1926 2541 2023 2121 2925 819 77 4179 2529 2538 3122 2165 688 2885 1285 2558 1046 3666 2543
2976 1841 4303 1953 2229 1749 1583 4492 3164 3524 1185 394 2437 2454 992 2826 1613 1089 3544 0
2811 692 3658 2231 537 10 233 1356 4254 2610 1862 4932 1726 3611 693 2181 2455 2306 3511 789
2679 2231 4624 3250 4406 2994 3300 3766 2825 4543 1097 2168 1557 4294 1832 2428 3723 2954 1026 1833
3963 2363 988 4224 1836 795 120 3058 3411 1548 1292 4143 4403 2053 3187 662 759 4569 3001 4011
519 2949 3523 2496 4368 170 3659 4613 1268 1798 639 3072 4344 223 571 564 4936 3384 4294 4224
1068 1542 4254 934 1052 4054 3926 20 4557 2949 1723 2277 223 3094 3126 1002 202 723 3481 1091
1595 1499 4613 4063 1088 2609 1440 2391 4638 265 4706 3770 3529 4719 455 3994 2574 4318 1185 4074
3010 3802 4674 2203 3920 1834 4425 2559 1236 3710 4961 3483 3432 3845 4813 4942 3894 242 248 1411
1834 2133 1100 635 4017 4573 4167 3143 4473 3858 1223 4761 4025 392 3571 203 2267 443 604 422
4172 3686 169 4896 4557 404 3358 2813 791 3916 532 3939 4701 163 1328 1742 3245 4701 2395 4179
4011 2986 4896 321 3806 4701 4786 3628 3931 1833 4468 1091 4711 4538 2786 2791 2295 3040 4393 763
